1,SSB Mitra Malang,Kursus Bola,"Jl. Lap. Brawijaya No.39, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65126",-7.971527,112.640431,(0341) 9857840,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
2,SSB Mulyorejo,Kursus Bola,"JL. Mulyorejo, Sukun, Mulyorejo, Kec. Sukun, Kota Malang, Jawa Timur 65147",-7.986292,112.599268,(0341) 5456653,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
3,SSB Brazil Style Football,Kursus Bola,"JL. Tlogomas, Dinoyo, Babatan, Tegalgondo, Kec. Karang Ploso, Malang, Jawa Timur 65144",-7.923321,112.600117,0856-4937-4098,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
4,SSB Tunjung Sekar,Kursus Bola,"Jl. Ikan Piranha No.191, Tunjungsekar, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",-7.931851,112.637294,(0341) 9520878,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
5,SSB Halilintar,Kursus Bola,"Jl. Bareng Raya, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65116",-7.980702,112.622236,(0341) 5342740,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
6,SSB UMM,Kursus Bola,"Jl. Pekalongan No.10, Penanggungan, Kec. Klojen, Kota Malang, Jawa Timur 65113",-7.962107,112.623009,0811-360-323,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
7,SSB Unibraw,Kursus Bola,"JL. Watu Jajar, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65143",-7.933416,112.624451,(0341) 572483,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
8,FORUM SEKOLAH SEPAK BOLA MALANG RAYA,Kursus Bola,"Jl. Raya Langsep Gedung graha PWI Dieng No.2D, Bareng, Kec. Klojen, Kota Malang, Jawa Timur 65149",-7.97926,112.613214,(0341) 7757071,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
9,SSB STIEMARA,Kursus Bola,"Jl. Tumapel No.2, RW.3, Kauman, Kec. Klojen, Kota Malang, Jawa Timur 65119",-7.978016,112.631772,(0341) 8658059,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
10,SSB Putra Arema,Kursus Bola,"Jl. Lap. Rampal, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur",-7.972207,112.64159,0852-9807-8165,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
11,SSB Mahaputra,Kursus Bola,"Pertokoan Rampal, JL. Panglima Sudirman, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur",-7.972319,112.638859,0816-554-690,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
12,SSB Putra Dewa,Kursus Bola,"Jl. Mergan, Tanjungrejo, Kec. Sukun, Kota Malang, Jawa Timur 65147",-7.986234,112.613026,(0341) 3789808,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
13,SSB Providencia,Kursus Bola,"Jl. R. Tumenggung Suryo, Rampal Celaket, Kec. Blimbing, Kota Malang, Jawa Timur 65111",-7.965584,112.639355,(0341) 9857840,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
14,SSB Sinarmas,Kursus Bola,"JL Penisium II, Turen, Tanjungrejo, Kec. Sukun, Kota Malang, Jawa Timur 65147, Indonesia",-7.983908,112.612639,(0341) 9255444,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
15,SSB Tunas Bangsa,Kursus Bola,"JL. Lowokdoro, Gadang, Kebonsari, Kec. Sukun, Kota Malang, Jawa Timur 65149",-8.024656,112.62693,(0341) 8658699,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
16,SSB Young Panzer,Kursus Bola,"JL. Sebuku, Purwantoro, Bunulrejo, Kec. Blimbing, Kota Malang, Jawa Timur 65126",-7.965258,112.646196,(0341) 7700205,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
17,SSB Cobra,Kursus Bola,"Jl. Cengger Ayam No.14, RW.02, Tulusrejo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65141",-7.94767,112.631637,(0341) 3152176,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
18,ASIFA - Aji Santoso International Football Academy,Kursus Bola,"Kompleks, Lapangan Mojolangu, Griya Shanta Blk. J, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142",-7.934966,112.619215,(0341) 489001,https://asifa.co.id/,-,-,Tidak ada,-,Pagi,-,Hari Kerja,"Selasa        08.00–16.00
Rabu        08.00–16.00
Kamis        08.00–16.00
Jumat        08.00–16.00
Sabtu        08.00–16.00
Minggu        Tutup
Senin        08.00–16.00",Kelas,-
19,SSB Galaxy,Kursus Bola,"Jl. Diponegoro No.7a, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111",-7.96991,112.634017,0858-5387-9155,-,-,-,Tidak ada,-,Pagi,-,Hari Libur,-,Kelas,-
20,Tempat Pendaftaran SSB Arema Licek,Kursus Bola,"Jl. Pelabuhan Tj. Emas No.192, Bakalankrajan, Kec. Sukun, Kota Malang, Jawa Timur 65148",-8.000028,112.601896,(0341) 8401931,-,-,-,Tidak ada,-,Pagi,-,Setiap Hari,"Selasa       07.00–15.00
Rabu         07.00–15.00
Kamis       07.00–15.00
Jumat       07.00–15.00
Sabtu        07.00–15.00
Minggu      07.00–15.00
Senin        07.00–15.00",Kelas,-