1,Kursus Komputer Malang,Kursus Komputer,"Perum Dirgantara, Jl. Dirgantara I No.12 A, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur 65138, Indonesia",-7.9830347,112.6453049,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
2,LKP CITRA KOMPUTER KOTA MALANG,Kursus Komputer,"Jl. Guntur No.33, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia",-7.968293,112.6271461,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
3,Karisma Academy,Kursus Komputer,"Jl. Watu Gong No.18, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.9481978,112.6095927,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
4,Solid Education Center,Kursus Komputer,"Jl. Letjend S. Parman No.4, Purwantoro, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Indonesia",-7.9550056,112.6364289,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
5,Kursus Komputer Malang,Kursus Komputer,"Jl. Watu Gong No.18 A, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.9481978,112.6030267,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
6,Kursus Komputer Teknik & Bahasa NEC,Kursus Komputer,"Jl danau bratan timur I blok H5C4 Sawojajar, Madyopuro, Kota Malang, Jawa Timur 65139, Indonesia",-7.9777684,112.665491,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
7,Hope Computer Training Center,Kursus Komputer,"Pusat Grosir Matahari, Jl. Kyai Tamin Blok A No.30, Sukoharjo, Kec. Klojen, Kota Malang, Jawa Timur 65118, Indonesia",-7.9777669,112.6326599,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
8,Interaktif Pusat Pendidikan Komputer Anak,Kursus Komputer,"Jl. Welirang No.20a, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",-7.977652,112.6253336,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
9,Kursus Komputer Kilat Malang,Kursus Komputer,"Jl. Sapudi No.5, Kasin, Kec. Klojen, Kota Malang, Jawa Timur 65117, Indonesia","-7.9776519,",112.6187675,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
10,SKOMTEK MALANG,Kursus Komputer,"Jl. T.G.P. No.1, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65112, Indonesia","-7.964409,",112.6231553,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
11,Ganeca,Kursus Komputer,"Jl. Kertosentono No.68, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",-7.948757,112.6018773,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
12,Siluet Computer Professional,Kursus Komputer,"JL. Kertosentono, 96-A, 65113, Ketawanggede, Kec. Lowokwaru, Kota Malang, Jawa Timur 65145, Indonesia",-7.9485416,112.6016265,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
13,Interaktif Komputer,Kursus Komputer,"Jl. Welirang No.20 A, RW.3, Oro-oro Dowo, Kec. Klojen, Kota Malang, Jawa Timur 65119, Indonesia",-7.9644089,112.6165892,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
14,Lembaga Pendidikan Komputer Kosayu,Kursus Komputer,"Jl. Borobudur No.8A, Mojolangu, Kec. Lowokwaru, Kota Malang, Jawa Timur 65142, Indonesia",-7.9399543,112.6294944,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
15,Inhuaschool,Kursus Komputer,"Jalan Mayor Jenderal DI Panjaitan No 7 Kav 6, Penanggungan, Malang, Malang City, East Java 65113, Indonesia",-7.9644089,112.6165892,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
16,Paradise Computer Course,Kursus Komputer,"Jl. Tlogo Suryo III No.10, Tlogomas, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",-7.9363,112.5909223,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
17,Brawijaya Computer Education,Kursus Komputer,"JL. Soekarno Hatta D/5-7 Lt 265141, Jatimulyo, Lowokwaru, Malang City, East Java 65141, Indonesia",-7.941445,112.6133553,(0341) 3789808,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
18,Bellcom Computer Palace,Kursus Komputer,"Jl. Kahuripan No.1865119, Klojen, Kec. Klojen, Kota Malang, Jawa Timur 65111, Indonesia",-7.9644089,112.6165892,(0341) 9857840,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-
19,Nacita Training Center,Kursus Komputer,"Jl. Gajayana Gg. II No.675b, RT.04/RW.02, Dinoyo, Kec. Lowokwaru, Kota Malang, Jawa Timur 65144, Indonesia",-7.9443785,112.6003804,(0341) 9255444,-,-,-,Ada,"WIFI, Buku",Pagi,-,Setiap Hari,"Selasa	08.00–17.00
Rabu	08.00–17.00
Kamis	08.00–17.00
Jumat	08.00–17.00
Sabtu	08.00–17.00
Minggu	08.00–17.00
Senin	08.00–17.00",Privat,-
20,Edu Media Nusantara. PT,Kursus Komputer,"JL Mayjen Panjaitan, No. 91 E, Penanggungan, Malang, Kota Malang, Jawa Timur 65113, Indonesia",-7.952926,112.6106813,(0341) 8658699,-,-,-,Ada,"WIFI, Buku",Siang,-,Setiap Hari,"Selasa	09.00–20.00
Rabu	09.00–20.00
Kamis	09.00–20.00
Jumat	09.00–20.00
Sabtu	09.00–20.00
Minggu	09.00–20.00
Senin	09.00–20.00",Kelas,-